,method,rank,l,p,rmse,time
72,FRSVT,9,5,2,0.010563520129559054,0.28926920890808105
73,QISVT,9,5,2,0.01192365512079057,0.6239619255065918
74,SVT,9,5,2,0.012780773522229555,16.39015507698059
75,FRSVT,9,5,2,0.011059546239964267,0.25325584411621094
76,QISVT,9,5,2,0.011980693089006171,0.23666810989379883
77,SVT,9,5,2,0.012780773522229555,3.9629669189453125
78,FRSVT,9,10,2,0.010541434121675132,1.9474449157714844
79,QISVT,9,10,2,0.012235989547183652,1.9847118854522705
80,SVT,9,10,2,0.012780773522229555,3.7139909267425537
81,FRSVT,9,10,2,0.010374715829665109,0.9852268695831299
82,QISVT,9,10,2,0.010344383285627071,1.3599340915679932
83,SVT,9,10,2,0.012780773522229555,8.137003183364868
84,FRSVT,9,15,2,0.011409126614497637,1.4660980701446533
85,QISVT,9,15,2,0.012496127127366379,1.0616767406463623
86,SVT,9,15,2,0.012780773522229555,20.57156991958618
87,FRSVT,9,15,2,0.010116022194509819,1.1675519943237305
88,QISVT,9,15,2,0.010917285505278162,1.0655481815338135
89,SVT,9,15,2,0.012780773522229555,4.339911937713623
90,FRSVT,9,20,2,0.010707547647282288,7.379486083984375
91,QISVT,9,20,2,0.010038408277061444,4.6847827434539795
92,SVT,9,20,2,0.012780773522229555,3.2090280055999756
93,FRSVT,9,20,2,0.011348368248251244,2.980527877807617
94,QISVT,9,20,2,0.011444359343221888,3.563446044921875
95,SVT,9,20,2,0.012780773522229555,16.974791288375854
96,FRSVT,11,5,2,0.0101467093253784,0.3222677707672119
97,QISVT,11,5,2,0.010152010050219911,0.8083412647247314
98,SVT,11,5,2,0.013279676788528373,17.209195137023926
99,FRSVT,11,5,2,0.010145662360804667,0.4560129642486572
100,QISVT,11,5,2,0.011250406047174448,0.31435275077819824
101,SVT,11,5,2,0.013279676788528373,5.0610527992248535
102,FRSVT,11,10,2,0.010535733639396345,2.39772891998291
103,QISVT,11,10,2,0.01114470757063251,1.2986319065093994
104,SVT,11,10,2,0.013279676788528373,5.061379671096802
105,FRSVT,11,10,2,0.010151207522642479,1.7939560413360596
106,QISVT,11,10,2,0.011165175478268752,1.1564979553222656
107,SVT,11,10,2,0.013279676788528373,9.491292953491211
108,FRSVT,11,15,2,0.01107096213500027,2.1721839904785156
109,QISVT,11,15,2,0.010919907462665036,5.419970750808716
110,SVT,11,15,2,0.013279676788528373,4.672867059707642
111,FRSVT,11,15,2,0.010570766945727372,1.5631999969482422
112,QISVT,11,15,2,0.010003830264807093,9.771761178970337
113,SVT,11,15,2,0.013279676788528373,11.737632036209106
114,FRSVT,11,20,2,0.011178255507284017,7.369996070861816
115,QISVT,11,20,2,0.011065651388594451,2.6460578441619873
116,SVT,11,20,2,0.013279676788528373,12.13275694847107
117,FRSVT,11,20,2,0.010937899053952758,6.0163350105285645
118,QISVT,11,20,2,0.010023115937813836,3.3076412677764893
119,SVT,11,20,2,0.013279676788528373,38.96098303794861
