,method,rank,l,p,rmse,time
40,QISVT,5,15,2,0.010022512997977375,1.1038079261779785
41,SVT,5,15,2,0.01030307870613002,2.421537160873413
42,FRSVT,5,20,2,0.010038490393244046,1.7532069683074951
43,QISVT,5,20,2,0.010050053357356321,1.724949836730957
44,SVT,5,20,2,0.01030307870613002,2.235592842102051
45,FRSVT,5,20,2,0.010012331303520593,1.805527687072754
46,QISVT,5,20,2,0.010063746536183221,1.686655044555664
47,SVT,5,20,2,0.01030307870613002,2.230703115463257
48,FRSVT,7,5,2,0.009970649570699628,0.29333972930908203
49,QISVT,7,5,2,0.00997058434585681,0.25588083267211914
50,SVT,7,5,2,0.010833906361407287,2.2184698581695557
51,FRSVT,7,5,2,0.009970377747030707,0.2577221393585205
52,QISVT,7,5,2,0.009970390419507197,0.24697113037109375
53,SVT,7,5,2,0.010833906361407287,5.091676950454712
54,FRSVT,7,10,2,0.010513678123488112,0.8316669464111328
55,QISVT,7,10,2,0.00999118065594693,0.6908140182495117
56,SVT,7,10,2,0.010833906361407287,8.164983987808228
57,FRSVT,7,10,2,0.010326993656712097,0.9306950569152832
58,QISVT,7,10,2,0.010985484522215077,0.6532926559448242
59,SVT,7,10,2,0.010833906361407287,4.075516700744629
60,FRSVT,7,15,2,0.010031442400570403,1.1660547256469727
61,QISVT,7,15,2,0.01002451366220468,1.4711589813232422
62,SVT,7,15,2,0.010833906361407287,3.9757800102233887
63,FRSVT,7,15,2,0.010049130246715741,1.084425926208496
64,QISVT,7,15,2,0.010101335713315776,1.0850920677185059
65,SVT,7,15,2,0.010833906361407287,2.3522121906280518
66,FRSVT,7,20,2,0.010007761096717844,1.7584810256958008
67,QISVT,7,20,2,0.010040221664766927,1.7229530811309814
68,SVT,7,20,2,0.010833906361407287,2.3441319465637207
69,FRSVT,7,20,2,0.01002398851400018,1.6931390762329102
70,QISVT,7,20,2,0.010046793252532209,1.6618402004241943
71,SVT,7,20,2,0.010833906361407287,2.1413302421569824
72,FRSVT,9,5,2,0.010563520129559054,0.23520684242248535
73,QISVT,9,5,2,0.01192365512079057,0.25518298149108887
74,SVT,9,5,2,0.012780773522229555,2.3645591735839844
75,FRSVT,9,5,2,0.011059546239964267,0.24788594245910645
76,QISVT,9,5,2,0.011980693089006171,0.2527732849121094
77,SVT,9,5,2,0.012780773522229555,2.165928840637207
78,FRSVT,9,10,2,0.010541434121675132,0.6452960968017578
79,QISVT,9,10,2,0.012235989547183652,0.5446438789367676
80,SVT,9,10,2,0.012780773522229555,2.3089370727539062
81,FRSVT,9,10,2,0.010374715829665109,0.9440047740936279
82,QISVT,9,10,2,0.010344383285627071,0.6544718742370605
83,SVT,9,10,2,0.012780773522229555,2.202847957611084
84,FRSVT,9,15,2,0.011409126614497637,1.083578109741211
85,QISVT,9,15,2,0.012496127127366379,1.082266092300415
86,SVT,9,15,2,0.012780773522229555,2.2308881282806396
87,FRSVT,9,15,2,0.010116022194509819,1.0556211471557617
88,QISVT,9,15,2,0.010917285505278162,1.0699548721313477
89,SVT,9,15,2,0.012780773522229555,2.6932530403137207
90,FRSVT,9,20,2,0.010707547647282288,1.6828508377075195
91,QISVT,9,20,2,0.010038408277061444,1.7049980163574219
92,SVT,9,20,2,0.012780773522229555,2.144486904144287
93,FRSVT,9,20,2,0.011348368248251244,2.4102699756622314
94,QISVT,9,20,2,0.011444359343221888,2.145979166030884
95,SVT,9,20,2,0.012780773522229555,2.4921398162841797
96,FRSVT,11,5,2,0.0101467093253784,0.2534000873565674
97,QISVT,11,5,2,0.010152010050219911,0.25478124618530273
98,SVT,11,5,2,0.013279676788528373,2.151772975921631
99,FRSVT,11,5,2,0.010145662360804667,0.24133610725402832
100,QISVT,11,5,2,0.011250406047174448,0.2420051097869873
101,SVT,11,5,2,0.013279676788528373,2.226541042327881
102,FRSVT,11,10,2,0.010535733639396345,0.6033883094787598
103,QISVT,11,10,2,0.01114470757063251,0.5804290771484375
104,SVT,11,10,2,0.013279676788528373,2.17504620552063
105,FRSVT,11,10,2,0.010151207522642479,0.6235651969909668
106,QISVT,11,10,2,0.011165175478268752,0.5817010402679443
107,SVT,11,10,2,0.013279676788528373,2.346653938293457
108,FRSVT,11,15,2,0.01107096213500027,1.0641491413116455
109,QISVT,11,15,2,0.010919907462665036,1.0920860767364502
110,SVT,11,15,2,0.013279676788528373,2.1908669471740723
111,FRSVT,11,15,2,0.010570766945727372,1.0716469287872314
112,QISVT,11,15,2,0.010003830264807093,1.141242265701294
113,SVT,11,15,2,0.013279676788528373,2.171807050704956
114,FRSVT,11,20,2,0.011178255507284017,1.7610790729522705
115,QISVT,11,20,2,0.011065651388594451,1.7620279788970947
116,SVT,11,20,2,0.013279676788528373,2.235887050628662
117,FRSVT,11,20,2,0.010937899053952758,1.7006220817565918
118,QISVT,11,20,2,0.010023115937813836,1.8178181648254395
119,SVT,11,20,2,0.013279676788528373,2.55635404586792
